,_time,host,active,available,available_percent,buffered,cached,commit_limit,committed_as,dirty,free,high_free,high_total,huge_page_size,huge_pages_free,huge_pages_total,inactive,low_free,low_total,mapped,page_tables,shared,slab,sreclaimable,sunreclaim,swap_cached,swap_free,swap_total,total,used,used_percent,vmalloc_chunk,vmalloc_total,vmalloc_used,write_back,write_back_tmp,class_1,class_2
40,2023-04-12 17:51:40+00:00,pi3testbed,465596416,1422721024,73.37111618543875,97710080,668545024,1074388992,1764577280,0,784863232,0,0,0,0,0,509014016,0,0,217399296,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387956736,20.007308721670785,0,265885319168,11567104,0,0,normal,normal
41,2023-04-12 17:51:50+00:00,pi3testbed,465596416,1422721024,73.37111618543875,97710080,668545024,1074388992,1764417536,180224,784863232,0,0,0,0,0,509014016,0,0,217407488,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387956736,20.007308721670785,0,265885319168,11583488,0,0,normal,normal
42,2023-04-12 17:52:00+00:00,pi3testbed,465596416,1422462976,73.35780839742547,97710080,668545024,1074388992,1764605952,184320,784605184,0,0,0,0,0,509014016,0,0,217509888,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,388214784,20.020616509684057,0,265885319168,11599872,0,0,normal,normal
43,2023-04-12 17:52:10+00:00,pi3testbed,465600512,1422721024,73.37111618543875,97710080,668540928,1074388992,1773203456,184320,784863232,0,0,0,0,0,509009920,0,0,217501696,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,387960832,20.00751995640115,0,265885319168,11599872,0,0,normal,normal
44,2023-04-12 17:52:20+00:00,pi3testbed,465600512,1422721024,73.37111618543875,97710080,668540928,1074388992,1764413440,184320,784863232,0,0,0,0,0,509009920,0,0,217399296,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,387960832,20.00751995640115,0,265885319168,11583488,0,0,normal,normal
45,2023-04-12 17:52:30+00:00,pi3testbed,465600512,1423265792,73.39921040457789,97710080,668545024,1074388992,1764417536,4096,785408000,0,0,0,0,0,509009920,0,0,217407488,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387411968,19.979214502531647,0,265885319168,11583488,0,0,normal,normal
46,2023-04-12 17:52:40+00:00,pi3testbed,465600512,1423265792,73.39921040457789,97710080,668545024,1074388992,1764421632,0,785408000,0,0,0,0,0,509009920,0,0,217407488,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387411968,19.979214502531647,0,265885319168,11583488,0,0,normal,normal
47,2023-04-12 17:52:50+00:00,pi3testbed,465600512,1423265792,73.39921040457789,97710080,668545024,1074388992,1764577280,0,785408000,0,0,0,0,0,509009920,0,0,217407488,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387411968,19.979214502531647,0,265885319168,11583488,0,0,normal,normal
48,2023-04-12 17:53:00+00:00,pi3testbed,465600512,1423265792,73.39921040457789,97710080,668545024,1074388992,1764417536,0,785408000,0,0,0,0,0,509009920,0,0,217407488,6402048,40513536,90726400,60801024,29925376,0,104853504,104853504,1939075072,387411968,19.979214502531647,0,265885319168,11583488,0,0,normal,normal
49,2023-04-12 17:53:10+00:00,pi3testbed,465600512,1423265792,73.39921040457789,97710080,668540928,1074388992,1764679680,0,785408000,0,0,0,0,0,509009920,0,0,217501696,6402048,40509440,90726400,60801024,29925376,0,104853504,104853504,1939075072,387416064,19.97942573726202,0,265885319168,11567104,0,0,normal,normal
