,_time,Protocol,Count,Traffic,class_1,class_2
177,2023-04-12 18:00:27.619088+00:00,ARP,7,420,normal,normal
178,2023-04-12 18:00:33.100371+00:00,ARP,4,240,normal,normal
179,2023-04-12 18:00:38.229471+00:00,ARP,12,702,normal,normal
180,2023-04-12 18:00:43.544750+00:00,ARP,15,900,normal,normal
181,2023-04-12 18:00:48.766533+00:00,ARP,8,480,normal,normal
182,2023-04-12 18:00:53.982440+00:00,ARP,9,522,normal,normal
183,2023-04-12 18:00:59.276737+00:00,ARP,10,600,normal,normal
184,2023-04-12 18:01:04.469434+00:00,ARP,4,240,normal,normal
185,2023-04-12 18:01:09.672747+00:00,ARP,6,360,normal,normal
186,2023-04-12 18:01:14.933992+00:00,ARP,10,600,normal,normal
187,2023-04-12 18:01:20.026860+00:00,ARP,7,420,normal,normal
188,2023-04-12 18:01:25.245099+00:00,ARP,3,162,normal,normal
189,2023-04-12 18:01:30.383281+00:00,ARP,2,120,normal,normal
190,2023-04-12 18:01:35.548694+00:00,ARP,10,600,normal,normal
191,2023-04-12 18:01:40.676250+00:00,ARP,14,840,normal,normal
192,2023-04-12 18:01:45.820558+00:00,ARP,10,600,normal,normal
193,2023-04-12 18:01:51.019657+00:00,ARP,13,762,normal,normal
194,2023-04-12 18:01:56.295937+00:00,ARP,17,1020,normal,normal
195,2023-04-12 18:02:01.405537+00:00,ARP,4,240,normal,normal
196,2023-04-12 18:02:06.532191+00:00,ARP,22,1302,normal,normal
197,2023-04-12 18:02:12.163573+00:00,ARP,12,720,normal,normal
198,2023-04-12 18:02:17.811944+00:00,ARP,5,300,normal,normal
199,2023-04-12 18:02:22.955816+00:00,ARP,13,762,normal,normal
200,2023-04-12 18:02:28.108606+00:00,ARP,7,420,normal,normal
201,2023-04-12 18:02:33.243472+00:00,ARP,3,180,normal,normal
202,2023-04-12 18:02:38.430102+00:00,ARP,10,600,normal,normal
203,2023-04-12 18:02:43.570012+00:00,ARP,12,720,normal,normal
204,2023-04-12 18:02:48.797695+00:00,ARP,5,300,normal,normal
205,2023-04-12 18:02:54.021620+00:00,ARP,6,342,normal,normal
206,2023-04-12 18:02:59.130995+00:00,ARP,15,900,normal,normal
207,2023-04-12 18:03:04.307608+00:00,ARP,4,240,normal,normal
208,2023-04-12 18:03:09.548826+00:00,ARP,6,342,normal,normal
209,2023-04-12 18:03:14.703666+00:00,ARP,8,480,normal,normal
210,2023-04-12 18:03:19.875918+00:00,ARP,8,480,normal,normal
211,2023-04-12 18:03:24.999184+00:00,ARP,8,462,normal,normal
212,2023-04-12 18:03:35.432243+00:00,ARP,12,720,normal,normal
213,2023-04-12 18:03:40.537528+00:00,ARP,11,660,normal,normal
214,2023-04-12 18:03:45.658068+00:00,ARP,8,480,normal,normal
215,2023-04-12 18:03:50.828149+00:00,ARP,5,300,normal,normal
216,2023-04-12 18:03:55.905404+00:00,ARP,19,1122,normal,normal
217,2023-04-12 18:04:01.548292+00:00,ARP,9,540,normal,normal
218,2023-04-12 18:04:06.731968+00:00,ARP,20,1200,normal,normal
219,2023-04-12 18:04:11.836076+00:00,ARP,15,900,normal,normal
220,2023-04-12 18:04:17.079785+00:00,ARP,3,180,normal,normal
221,2023-04-12 18:04:22.211865+00:00,ARP,16,924,normal,normal
222,2023-04-12 18:04:27.429229+00:00,ARP,9,540,normal,normal
223,2023-04-12 18:04:32.564210+00:00,ARP,3,180,normal,normal
224,2023-04-12 18:04:37.814753+00:00,ARP,11,660,normal,normal
225,2023-04-12 18:04:42.949601+00:00,ARP,9,540,normal,normal
226,2023-04-12 18:04:48.132664+00:00,ARP,9,540,normal,normal
227,2023-04-12 18:04:53.375746+00:00,ARP,5,282,normal,normal
228,2023-04-12 18:04:58.543978+00:00,ARP,14,840,normal,normal
229,2023-04-12 18:05:03.744722+00:00,ARP,3,180,normal,normal
230,2023-04-12 18:05:08.916565+00:00,ARP,3,180,normal,normal
231,2023-04-12 18:05:14.087537+00:00,ARP,8,480,normal,normal
232,2023-04-12 18:05:19.273597+00:00,ARP,1,60,normal,normal
233,2023-04-12 18:05:24.595040+00:00,ARP,11,624,normal,normal
234,2023-04-12 18:05:30.262429+00:00,ARP,2,120,normal,normal
235,2023-04-12 18:05:35.430722+00:00,ARP,10,600,normal,normal
236,2023-04-12 18:05:40.538685+00:00,ARP,10,600,normal,normal
237,2023-04-12 18:05:45.783587+00:00,ARP,8,480,normal,normal
238,2023-04-12 18:05:50.924039+00:00,ARP,8,480,normal,normal
239,2023-04-12 18:05:56.067063+00:00,ARP,17,1002,normal,normal
240,2023-04-12 18:06:01.215387+00:00,ARP,4,240,normal,normal
241,2023-04-12 18:06:06.476268+00:00,ARP,12,720,normal,normal
242,2023-04-12 18:06:11.590774+00:00,ARP,17,1020,normal,normal
243,2023-04-12 18:06:16.805027+00:00,ARP,5,300,normal,normal
244,2023-04-12 18:06:21.965650+00:00,ARP,14,804,normal,normal
245,2023-04-12 18:06:27.076520+00:00,ARP,9,540,normal,normal
246,2023-04-12 18:06:32.235165+00:00,ARP,3,180,normal,normal
247,2023-04-12 18:06:37.374203+00:00,ARP,6,360,normal,normal
248,2023-04-12 18:06:42.589474+00:00,ARP,6,360,normal,normal
249,2023-04-12 18:06:47.727452+00:00,ARP,10,600,normal,normal
250,2023-04-12 18:06:53.003695+00:00,ARP,3,162,normal,normal
251,2023-04-12 18:06:58.085536+00:00,ARP,12,720,normal,normal
252,2023-04-12 18:07:03.203803+00:00,ARP,8,480,normal,normal
253,2023-04-12 18:07:08.903527+00:00,ARP,4,240,normal,normal
254,2023-04-12 18:07:14.082012+00:00,ARP,6,360,normal,normal
255,2023-04-12 18:07:19.196472+00:00,ARP,2,120,normal,normal
256,2023-04-12 18:07:24.397211+00:00,ARP,10,564,normal,normal
257,2023-04-12 18:07:34.767707+00:00,ARP,6,360,normal,normal
258,2023-04-12 18:07:40.029488+00:00,ARP,9,540,normal,normal
259,2023-04-12 18:07:45.186265+00:00,ARP,13,780,normal,normal
260,2023-04-12 18:07:50.351884+00:00,ARP,6,360,normal,normal
261,2023-04-12 18:07:55.504666+00:00,ARP,14,822,normal,normal
262,2023-04-12 18:08:00.743510+00:00,ARP,11,660,normal,normal
263,2023-04-12 18:08:06.048144+00:00,ARP,6,360,normal,normal
264,2023-04-12 18:08:11.139219+00:00,ARP,21,1260,normal,normal
265,2023-04-12 18:08:16.258808+00:00,ARP,19,1140,normal,normal
266,2023-04-12 18:08:21.493504+00:00,ARP,11,624,normal,normal
267,2023-04-12 18:08:26.579750+00:00,ARP,12,720,normal,normal
268,2023-04-12 18:08:31.872578+00:00,ARP,3,180,normal,normal
269,2023-04-12 18:08:37.085485+00:00,ARP,4,240,normal,normal
270,2023-04-12 18:08:42.220353+00:00,ARP,7,420,normal,normal
271,2023-04-12 18:08:47.853100+00:00,ARP,10,600,normal,normal
272,2023-04-12 18:08:53.114432+00:00,ARP,4,222,normal,normal
273,2023-04-12 18:08:58.341263+00:00,ARP,7,420,normal,normal
274,2023-04-12 18:09:03.459249+00:00,ARP,12,720,normal,normal
275,2023-04-12 18:09:08.690576+00:00,ARP,4,222,normal,normal
276,2023-04-12 18:09:13.781640+00:00,ARP,5,300,normal,normal
277,2023-04-12 18:09:19.066207+00:00,ARP,5,300,normal,normal
278,2023-04-12 18:09:24.242486+00:00,ARP,8,462,normal,normal
279,2023-04-12 18:09:29.565177+00:00,ARP,1,60,normal,normal
280,2023-04-12 18:09:34.856604+00:00,ARP,4,240,normal,normal
